vowel	F2	rateF2	F2transtime	f0Median	Baseline	SpectEmph	subj
a	1574	2.7	5	167	165	9.9	crim
ANUN	NA	NA	NA	141	134	6.1	crim
Ia	1709	-1.3	5	168	155	4.9	crim
e	1348	6.9	5	190	189	7.7	crim
a	1628	0.4	5	182	180	0.8	crim
ANUN	NA	NA	NA	197	195	6.9	crim
e	1398	12.2	10	222	218	2.1	crim
e	1515	0.05	5	186	181	3.6	crim
o	1260	-2.2	5	153	148	8.6	crim
a	1261	-1.7	5	152	150	11.3	crim
a	1290	5.7	5	158	151	15.8	crim
a	1583	-1.0	5	149	147	6.4	crim
o	1300	-7.5	5	155	146	12.4	crim
eh	1724	-6.9	5	188	172	3.4	crim
uIN	1991	-4.5	5	185	182	1.2	crim
U	1204	-9.6	5	157	150	4.4	crim
aI	1373	11.3	5	131	128	9.7	crim
a	1344	-0.8	5	124	123	11.0	crim
I	1683	10.9	5	126	125	9.3	crim
U	1434	0.4	5	126	125	8.5	crim
i	1910	-0.7	5	124	121	7.9	crim
UN	NA	NA	NA	125	124	7.3	crim
EN	NA	NA	NA	137	136	8.7	crim
i	1865	-2.0	5	128	125	5.0	crim
U	1365	-11.3	5	NA	NA	NA	crim
Ieh	1548	-1.5	5	153	150	6.2	crim
EN	NA	NA	NA	85	74	17.7	crim
e	1747	10.9	5	166	164	4.2	crim
aU	1566	-9.3	5	136	130	4.3	crim
e	1459	-11.8	5	132	131	2.6	crim
I	1606	-12.0	10	NA	NA	NA	crim
a	1266	-3.6	5	129	127	4.6	crim
eh	1790	-2.6	5	176	137	1.7	crim
e	1779	4.7	5	161	160	9.1	crim
i	1867	-2.0	5	136	131	5.3	crim
